Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|27/01/2025|Vente|139214,00|78||RTE|0040|DU FRENET|1410|LELEX|01|210||D|623||109|29,98|110|30,14|47||49||||4|4|Local industriel. commercial ou assimilé||1072|0|||
|||||||000002|27/01/2025|Vente|358,00||||B022|MARAIS DE FAIZIN|1220|GRILLY|01|180||AA|59||||||||||||0||||||P|MARAI|7370
|||||||000002|27/01/2025|Vente|358,00||||B022|MARAIS DE FAIZIN|1220|GRILLY|01|180||AA|105||||||||||||0||||||P|MARAI|6695
|||||||000002|27/01/2025|Vente|358,00||||B022|MARAIS DE FAIZIN|1220|GRILLY|01|180||AA|106||||||||||||0||||||P|MARAI|358
|||||||000002|27/01/2025|Vente|358,00||||B022|MARAIS DE FAIZIN|1220|GRILLY|01|180||AA|107||||||||||||0||||||P|MARAI|317
|||||||000001|13/01/2025|Vente|193500,00|2||RUE|0085|DU RHONE|1150|SAULT-BRENAZ|01|396||AD|71||||||||||||0|3|Dépendance||0|0|S||90
|||||||000001|13/01/2025|Vente|193500,00|2||RUE|0085|DU RHONE|1150|SAULT-BRENAZ|01|396||AD|72||||||||||||0|3|Dépendance||0|0|S||446
|||||||000001|13/01/2025|Vente|193500,00|2||RUE|0085|DU RHONE|1150|SAULT-BRENAZ|01|396||AD|73||||||||||||0|1|Maison||130|3|S||73
|||||||000001|09/01/2025|Vente|6050,00||||B172|PRE DE LA FORET|1300|GROSLEE-SAINT-BENOIT|01|338||C|718||||||||||||0||||||P||3570
|||||||000001|09/01/2025|Vente|6050,00||||B219|TRABANIERE|1300|GROSLEE-SAINT-BENOIT|01|338||D|167||||||||||||0||||||BS||1390
|||||||000001|21/01/2025|Vente|270000,00|371||RUE|0362|DE GEX LA VILLE|1170|GEX|01|173||AI|278||207||||||||||1|2|Appartement||58|3|||
|||||||000001|21/01/2025|Vente|270000,00|371||RUE|0362|DE GEX LA VILLE|1170|GEX|01|173||AI|278||453||||||||||1|3|Dépendance||0|0|||
|||||||000001|21/01/2025|Vente|270000,00|371||RUE|0362|DE GEX LA VILLE|1170|GEX|01|173||AI|278||454||||||||||1|3|Dépendance||0|0|||
|||||||000001|22/01/2025|Vente|185000,00||||B055|DHUYS|1250|NIVIGNE ET SURAN|01|95||AH|84||||||||||||0||||||J||881
|||||||000001|22/01/2025|Vente|185000,00|3||RUE|0021|AIME COTTON|1250|NIVIGNE ET SURAN|01|95||AH|140||||||||||||0|3|Dépendance||0|0|S||190
|||||||000001|22/01/2025|Vente|185000,00|3||RUE|0021|AIME COTTON|1250|NIVIGNE ET SURAN|01|95||AH|140||||||||||||0|3|Dépendance||0|0|S||190
|||||||000001|22/01/2025|Vente|185000,00|3||RUE|0021|AIME COTTON|1250|NIVIGNE ET SURAN|01|95||AH|140||||||||||||0|3|Dépendance||0|0|S||190
|||||||000001|22/01/2025|Vente|185000,00|3||RUE|0021|AIME COTTON|1250|NIVIGNE ET SURAN|01|95||AH|140||||||||||||0|2|Appartement||140|4|S||190
|||||||000001|22/01/2025|Vente|185000,00|3||RUE|0021|AIME COTTON|1250|NIVIGNE ET SURAN|01|95||AH|140||||||||||||0|2|Appartement||154|5|S||190
|||||||000001|22/01/2025|Vente|185000,00||||B055|DHUYS|1250|NIVIGNE ET SURAN|01|95||AH|141||||||||||||0||||||S||262
|||||||000001|17/01/2025|Vente|85000,00||||B064|LES GASSES|1370|MEILLONNAS|01|241||ZE|653||||||||||||0||||||P||664
|||||||000001|14/01/2025|Vente en l'état futur d'achèvement|238862,56||||B221|MARBOZ|1851|MARBOZ|01|232||D|2750||8|75,18|||||||||1||||||||
