Index,Valeur fonciere,Commune,Code departement,Section,Nombre de lots,Surface reelle bati
1069,160000.0,NICE,6,MI,2,-0.4851620472635183
1071,220000.0,NICE,6,LB,1,-0.51988574273868
1073,310000.0,NICE,6,NH,2,0.5218251215161707
1077,240000.0,NICE,6,LO,2,0.6259962079416557
1080,132000.0,NICE,6,NX,2,-0.4851620472635183
1081,250000.0,NICE,6,IZ,1,-0.51988574273868
1082,554000.0,NICE,6,MO,2,0.695443598891979
1087,470000.0,NICE,6,HC,2,0.5565488169913323
1089,133625.0,NICE,6,HD,1,-0.7282279155896502
1090,170000.0,NICE,6,IM,2,0.03569338486390701
1092,250000.0,NICE,6,KY,2,-0.31154356988770987
1094,200000.0,NICE,6,ND,2,-0.17264878798706312
1095,197000.0,NICE,6,LZ,2,0.20931186223971546
1101,225000.0,NICE,6,HI,2,0.13986447128939208
1116,655000.0,NICE,6,KO,1,1.0079568581684342
1120,575245.5,NICE,6,KH,1,-0.4851620472635183
1125,385000.0,NICE,6,CO,2,-0.10320139703673974
1128,230100.0,NICE,6,ED,2,-0.2420961789373865
1130,166915.0,NICE,6,LB,1,-1.075464870341267
1135,239000.0,NICE,6,NS,2,-0.03375400608641637
1140,1616430.0,NICE,6,KH,1,1.5288122902958596
1142,350000.0,NICE,6,EW,1,0.3134829486652005
1144,135000.0,NICE,6,IX,1,-1.179635956766752
1145,98000.0,NICE,6,LE,1,-1.3185307386673988
1147,275000.0,NICE,6,IY,2,-0.17264878798706312
1149,293000.0,NICE,6,LW,2,0.20931186223971546
1151,890000.0,NICE,6,KY,1,0.0704170803390687
1153,201000.0,NICE,6,ED,2,-0.31154356988770987
1155,190000.0,NICE,6,IM,1,-0.31154356988770987
1158,65000.0,NICE,6,IM,2,-1.075464870341267
1162,250000.0,NICE,6,LW,0,-0.8323990020151352
1163,250000.0,NICE,6,LW,0,-1.179635956766752
1165,250000.0,NICE,6,LW,0,0.2787592531900388
1171,125000.0,NICE,6,EA,1,-0.7976753065399735
1172,178000.0,NICE,6,EH,2,0.24403555771487714
1174,90000.0,NICE,6,LO,1,-1.4227018250928838
1176,156360.0,NICE,6,KO,1,-1.2490833477170755
1181,230000.0,NICE,6,IW,1,-0.13792509251190144
1183,307500.0,NICE,6,NS,3,0.3482066441403622
1185,200000.0,NICE,6,MY,1,-0.31154356988770987
1191,243000.0,NICE,6,MH,2,-0.2073724834622248
1193,235000.0,NICE,6,HA,2,-0.2073724834622248
1199,260000.0,NICE,6,LI,2,1.598259681246183
1200,125000.0,NICE,6,HC,2,-1.0407411748661053
1202,172276.0,NICE,6,KO,1,-0.8323990020151352
1204,148596.0,NICE,6,LS,1,0.5565488169913323
1207,786500.0,NICE,6,MO,2,0.9385094672181109
1209,315000.0,NICE,6,KL,2,-0.13792509251190144
1212,147250.0,NICE,6,KW,1,-0.9712937839157819
1213,208000.0,NICE,6,OH,2,-0.2420961789373865
1219,159700.0,NICE,6,MC,2,-0.2420961789373865
1223,233400.0,NICE,6,IV,2,-0.31154356988770987
1227,435000.0,NICE,6,OL,1,0.03569338486390701
1239,305000.0,NICE,6,LA,1,-0.2420961789373865
1240,174500.0,NICE,6,IX,1,-0.13792509251190144
1241,241250.0,NICE,6,LE,1,-0.7282279155896502
1243,180000.0,NICE,6,NW,2,-0.9018463929654585
1245,313030.0,NICE,6,DZ,1,0.7996146853174642
1248,169000.0,NICE,6,NX,2,-1.1449122612915903
1250,592000.0,NICE,6,KV,2,0.7648909898423024
1251,245000.0,NICE,6,LT,2,0.9037857717429492
