Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|24/02/2025|Vente|399450,00|36||AV|6715|VILLERMONT|6000|NICE|06|88||LS|4||19|70,58|53||||||||2|2|Appartement||68|3|||
|||||||000001|24/02/2025|Vente|399450,00|36||AV|6715|VILLERMONT|6000|NICE|06|88||LS|4||19|70,58|53||||||||2|3|Dépendance||0|0|||
|||||||000001|03/03/2025|Vente|209000,00|54||AV|5380|DU RAY|6100|NICE|06|88||EH|375||532|63,12|570||||||||2|2|Appartement||63|4|||
|||||||000001|03/03/2025|Vente|209000,00|54||AV|5380|DU RAY|6100|NICE|06|88||EH|375||532|63,12|570||||||||2|3|Dépendance||0|0|||
|||||||000001|27/02/2025|Vente|51000,00|39||AV|4330|MONPLAISIR|6100|NICE|06|88||LP|13||4|19,20|||||||||1|2|Appartement||15|1|||
|||||||000001|27/02/2025|Vente|234000,00|1||RUE|0945|BOYER|6300|NICE|06|88||KO|61||13||61|45,43|||||||2|2|Appartement||48|2|||
|||||||000001|27/02/2025|Vente|234000,00|1||RUE|0945|BOYER|6300|NICE|06|88||KO|61||13||61|45,43|||||||2|3|Dépendance||0|0|||
|||||||000001|27/02/2025|Vente|475000,00|1||RUE|0790|BERLIOZ|6000|NICE|06|88||KY|240||3||32|60,02|||||||2|2|Appartement||60|2|||
|||||||000001|05/03/2025|Vente|274000,00|21||AV|1965|DES DIABLES BLEUS|6300|NICE|06|88||IW|58||92|8,29|93||||||||2|3|Dépendance||0|0|||
|||||||000001|05/03/2025|Vente|274000,00|21||AV|1965|DES DIABLES BLEUS|6300|NICE|06|88||IW|58||89|84,12|90||91||||||3|2|Appartement||75|3|||
|||||||000001|05/03/2025|Vente|274000,00|21||AV|1965|DES DIABLES BLEUS|6300|NICE|06|88||IW|58||92|8,29|93||||||||2|3|Dépendance||0|0|||
|||||||000001|18/02/2025|Vente|250000,00|39||RUE|5240|DE LA PREFECTURE|6300|NICE|06|88||KR|148||11||||||||||1|2|Appartement||63|3|||
|||||||000001|28/02/2025|Vente|208000,00|24||AV|5960|SAINT SYLVESTRE|6100|NICE|06|88||EH|271||24||51||||||||2|2|Appartement||69|3|||
|||||||000001|28/02/2025|Vente|208000,00|24||AV|5960|SAINT SYLVESTRE|6100|NICE|06|88||EH|271||3||||||||||1|3|Dépendance||0|0|||
|||||||000001|28/02/2025|Vente|208000,00|24||AV|5960|SAINT SYLVESTRE|6100|NICE|06|88||EH|271||24||51||||||||2|3|Dépendance||0|0|||
|||||||000001|28/02/2025|Vente|208000,00|24||AV|5960|SAINT SYLVESTRE|6100|NICE|06|88||EH|271||24||51||||||||2|3|Dépendance||0|0|||
|||||||000001|26/02/2025|Vente|255000,00|37||AV|1915|DESAMBROIS|6000|NICE|06|88||LB|393||1||23||24||||||3|2|Appartement||57|2|||
|||||||000001|05/03/2025|Vente|80000,00|15||RUE|0715|DE BELGIQUE|6000|NICE|06|88||LA|106||58|14,35|||||||||1|2|Appartement||14|1|||
|||||||000001|28/02/2025|Vente|264800,00|95||BD|1265|DE CESSOLE|6100|NICE|06|88||EA|277||38||52|70,09|||||||2|3|Dépendance||0|0|||
|||||||000001|28/02/2025|Vente|264800,00|95||BD|1265|DE CESSOLE|6100|NICE|06|88||EA|277||38||52|70,09|||||||2|2|Appartement||68|3|||
|||||||000001|27/02/2025|Vente|129000,00|93||BD|2188|EDOUARD HERRIOT|6200|NICE|06|88||MP|167||490||506||545|84,84|||||3|2|Appartement||82|3|||
|||||||000001|27/02/2025|Vente|129000,00|93||BD|2188|EDOUARD HERRIOT|6200|NICE|06|88||MP|167||490||506||545|84,84|||||3|3|Dépendance||0|0|||
|||||||000001|27/02/2025|Vente|129000,00|93||BD|2188|EDOUARD HERRIOT|6200|NICE|06|88||MP|167||490||506||545|84,84|||||3|3|Dépendance||0|0|||
|||||||000001|26/02/2025|Vente|67220,00|110||BD|2755|GAMBETTA|6000|NICE|06|88||LT|270||10|14,18|||||||||1|3|Dépendance||0|0|||
|||||||000001|24/02/2025|Vente|726000,00|2|B|BD|4425|DE MONTREAL|6200|NICE|06|88||NK|281||172||||||||||1|3|Dépendance||0|0|||
|||||||000001|24/02/2025|Vente|726000,00|2|B|BD|4425|DE MONTREAL|6200|NICE|06|88||NK|281||196|133,20|||||||||1|2|Appartement||133|5|||
|||||||000001|24/02/2025|Vente|726000,00|2|B|BD|4425|DE MONTREAL|6200|NICE|06|88||NK|281||194||||||||||1|3|Dépendance||0|0|||
|||||||000001|27/02/2025|Vente|140000,00|4||RUE|2805|GAUTIER ROUX|6000|NICE|06|88||HD|56||17||51||||||||2|3|Dépendance||0|0|||
|||||||000001|27/02/2025|Vente|140000,00|4||RUE|2805|GAUTIER ROUX|6000|NICE|06|88||HD|56||17||51||||||||2|2|Appartement||51|3|||
|||||||000001|24/02/2025|Vente|109000,00|15||RUE|2005|DOCTEUR ARDOIN|6300|NICE|06|88||IW|422||173||||||||||1|2|Appartement||20|1|||
|||||||000001|24/02/2025|Vente|465000,00|9||BD|5485|DE RIQUIER|6300|NICE|06|88||IX|177||391||97||||||||2|3|Dépendance||0|0|||
|||||||000001|24/02/2025|Vente|465000,00|9||BD|5485|DE RIQUIER|6300|NICE|06|88||IX|177||391||97||||||||2|3|Dépendance||0|0|||
|||||||000001|24/02/2025|Vente|465000,00|9||BD|5485|DE RIQUIER|6300|NICE|06|88||IX|177||439||||||||||1|3|Dépendance||0|0|||
|||||||000001|24/02/2025|Vente|465000,00|9||BD|5485|DE RIQUIER|6300|NICE|06|88||IX|177||391||97||||||||2|2|Appartement||74|3|||
|||||||000001|21/02/2025|Vente|22000,00|137||CHE|1725|DE LA COSTIERE|6000|NICE|06|88||LZ|173||329||||||||||1|3|Dépendance||0|0|||
